WO_ID,Equipment_ID,Type,Priority,Status,Created_Date,Completion_Date,Description,Assigned_To,Hours_Spent
WO-2025-001,EQ-002,CORRECTIVE,HIGH,CLOSED,2025-01-15,2025-01-16,Mechanical seal replacement Pump P-101,Maintenance Team A,8
WO-2025-002,EQ-004,PREVENTIVE,MEDIUM,CLOSED,2025-02-01,2025-02-02,Compressor oil change and filter cleaning,Maintenance Team B,6
WO-2025-003,EQ-001,PREDICTIVE,HIGH,CLOSED,2025-02-10,2025-02-11,Boiler tube thickness inspection,NDT Team,12
WO-2025-004,EQ-007,CORRECTIVE,CRITICAL,CLOSED,2025-03-05,2025-03-08,Turbine governor valve calibration,Maintenance Team A,24
WO-2025-005,EQ-005,PREVENTIVE,LOW,CLOSED,2025-03-15,2025-03-16,Tank level sensor calibration,Instrumentation Team,4
WO-2025-006,EQ-013,CORRECTIVE,HIGH,CLOSED,2025-04-01,2025-04-03,Cooling tower fan belt replacement,Maintenance Team B,10
WO-2025-007,EQ-003,CORRECTIVE,HIGH,OPEN,2025-05-10,,Pump P-102 bearing overheating investigation,Maintenance Team A,
WO-2025-008,EQ-010,PREVENTIVE,MEDIUM,OPEN,2025-05-20,,Transformer oil filtration and testing,Electrical Team,8*
WO-2025-009,EQ-006,CORRECTIVE,MEDIUM,OPEN,2025-06-01,,Heat exchanger tube leak investigation,Maintenance Team B,
WO-2025-010,EQ-002,PREVENTIVE,MEDIUM,CLOSED,2025-06-10,2025-06-11,Pump P-101 coupling alignment check,Maintenance Team A,4
WO-2025-011,EQ-008,CORRECTIVE,HIGH,OPEN,2025-06-15,,Conveyor belt tracking issue,Material Handling Team,
WO-2025-012,EQ-004,CORRECTIVE,CRITICAL,OPEN,2025-06-18,,Compressor C-201 high vibration alert,Maintenance Team B,
WO-2025-013,EQ-014,CORRECTIVE,HIGH,OPEN,2025-06-20,,Generator G-301 bearing temperature elevated,Electrical Team,
WO-2025-014,EQ-015,PREDICTIVE,MEDIUM,OPEN,2025-06-22,,Gas analyzer A-101 calibration verification,Instrumentation Team,
